name,calories,protein,fat,carbs,fiber
Steamed Bun,220,7.0,1.2,44.2,1.6
Pancake,227,6.0,7.0,35.0,1.0
Waffle,291,8.1,10.0,43.0,1.3
Donut,452,4.9,25.0,51.0,2.0
Croissant,406,8.2,21.0,45.0,2.6
Bagel,250,10.0,1.2,48.0,2.0
Muffin,377,5.8,15.0,53.0,1.0
Quiche,296,11.0,21.0,17.0,1.0
Lasagna,135,7.0,5.0,15.0,1.1
Macaroni and Cheese,164,6.6,8.0,17.5,0.8
Chicken Nugget,302,15.0,20.0,18.0,1.2
Roast Beef,219,30.0,10.0,0.0,0.0
Bacon,541,37.0,42.0,1.4,0.0
Turkey Breast,104,17.0,2.0,0.0,0.0
Duck,337,27.0,28.0,0.0,0.0
Lamb Chop,282,25.0,20.0,0.0,0.0
Tuna,132,28.0,1.0,0.0,0.0
Mackerel,205,19.0,13.9,0.0,0.0
Crab,83,18.0,0.6,0.0,0.0
Oyster,68,7.0,2.5,4.2,0.0
Squid,92,15.6,1.4,3.1,0.0
Octopus,82,14.9,1.0,2.2,0.0
Eggplant,25,1.0,0.2,5.9,3.0
Pumpkin,26,1.0,0.1,6.5,0.5
Zucchini,17,1.2,0.3,3.1,1.0
Green Bean,31,1.8,0.1,7.1,3.4
Snow Pea,42,2.8,0.2,7.6,2.6
Pea,81,5.4,0.4,14.5,5.7
Chickpea,364,19.0,6.0,61.0,17.0
Lentil,116,9.0,0.4,20.1,7.9
Red Kidney Bean,127,8.7,0.5,22.8,6.4
Black Bean,132,8.9,0.5,23.7,8.7
Corn,86,3.2,1.2,19.0,2.7
Popcorn,387,12.9,4.5,77.9,14.5
Green Pepper,20,0.9,0.2,4.6,1.7
Red Bell Pepper,31,1.0,0.3,6.0,2.1
Onion,40,1.1,0.1,9.3,1.7
Garlic,149,6.4,0.5,33.1,2.1
Ginger,80,1.8,0.8,17.8,2.0
Mushroom,22,3.1,0.3,3.3,1.0
Pumpkin Seed,559,30.2,49.0,10.7,6.0
Sunflower Seed,584,20.8,51.5,20.0,8.6
Chia Seed,486,16.5,30.7,42.1,34.4
Sesame Seed,573,17.7,49.7,23.4,11.8
Cashew,553,18.2,43.8,30.2,3.3
Hazelnut,628,15.0,60.8,16.7,9.7
Pistachio,562,20.2,45.4,27.2,10.3
Pineapple,50,0.5,0.1,13.1,1.4
Mango,60,0.8,0.4,15.0,1.6
Papaya,43,0.5,0.3,11.0,1.7
Pear,57,0.4,0.1,15.0,3.1
Peach,39,0.9,0.3,9.5,1.5
Plum,46,0.7,0.3,11.4,1.4
Cherry,50,1.0,0.3,12.2,1.6
Kiwi,61,1.1,0.5,14.7,3.0
Blueberry,57,0.7,0.3,14.5,2.4
Raspberry,52,1.2,0.7,12.0,6.5
Blackberry,43,1.4,0.5,10.0,5.3
Date,282,2.5,0.4,75.0,8.0
Fig,74,0.8,0.3,19.2,2.9
Pomegranate,83,1.7,1.2,18.7,4.0
Grapefruit,42,0.8,0.1,10.7,1.6
Lemon,29,1.1,0.3,9.3,2.8
Lime,30,0.7,0.2,11.0,2.8
Coconut,354,3.3,33.5,15.2,9.0
Lychee,66,0.8,0.4,16.5,1.3
Dragon Fruit,50,1.1,0.4,13.0,3.0
Passion Fruit,97,2.2,0.4,23.4,10.4
Guava,68,2.6,1.0,14.3,5.4
Starfruit,31,1.0,0.3,7.0,2.8
Jackfruit,95,1.7,0.6,23.3,1.5
Durian,147,1.5,5.3,27.1,3.8
Persimmon,81,0.6,0.2,21.0,3.6
Mulberry,43,1.4,0.4,9.8,1.7
Cranberry,46,0.4,0.1,12.2,3.6
Apricot,48,1.4,0.4,11.1,2.0
Olive,115,0.8,10.7,6.3,3.2
Prune,240,2.2,0.4,63.9,7.1
Raisin,299,3.1,0.5,79.2,3.7
Caramel Candy,382,0.5,6.5,87.0,0.0
Milk Chocolate,535,7.7,30.0,59.0,3.4
Dark Chocolate,546,4.9,31.0,61.0,7.0
Gummy Bear,343,6.9,0.1,77.0,0.1
Potato Chips,536,7.0,34.6,53.0,4.8
Tortilla Chips,489,7.0,23.0,65.0,4.9
Pretzel,380,9.1,3.8,80.0,3.4
Cracker,502,7.8,24.0,64.0,3.0
Granola Bar,471,7.7,22.0,64.0,5.0
Pop Tart,370,3.6,9.0,70.0,2.6
Scone,389,6.5,16.0,56.0,1.7
Croquette,155,3.0,7.0,19.0,1.4
Spring Roll,124,3.0,3.0,20.0,1.5
Falafel,333,13.0,17.0,31.0,7.8
Burrito,206,7.0,7.0,27.0,2.5
Taco,226,9.0,13.0,18.0,2.3
Sushi,130,2.0,0.3,28.0,1.0
Miso Soup,40,3.0,1.2,5.0,0.6
Kimchi,15,1.1,0.5,2.4,1.6
Pickles,12,0.3,0.2,2.4,1.2
